,Opening,Opening.1,Title,Production company,Cast and crew,Ref.,genres
44,M A R C H,22,The Dirt,Netflix,"Jeff Tremaine (director): Tom Kapinos, Amanda Adelson, Rich Wilkes (screenplay); Douglas Booth, Iwan Rheon, Machine Gun Kelly, Daniel Webber",[46],Drama Music History Comedy
45,M A R C H,22,Dragged Across Concrete,Summit Entertainment,"S. Craig Zahler (director/screenplay); Mel Gibson, Vince Vaughn, Michael Jai White",[47],Crime Action Thriller
46,M A R C H,29,Dumbo,Walt Disney Pictures,"Tim Burton (director); Ehren Kruger (screenplay); Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Nico Parker, Finley Hobbins, Alan Arkin, Roshan Seth, Lars Eidinger, DeObia Oparei",[48],Animation Family
47,M A R C H,29,The Beach Bum,Neon,"Harmony Korine (director/screenplay); Matthew McConaughey, Zac Efron, Jonah Hill, Isla Fisher, Jimmy Buffett, Snoop Dogg, Martin Lawrence",[49],Comedy
48,M A R C H,29,Unplanned,Pure Flix,"Chuck Konzelman, Cary Soloman (director/screenplay); Ashley Bratcher, Brooks Ryan, Robia Scott",[50],Drama
49,A P R I L,5,Shazam!,Warner Bros. Pictures / New Line Cinema / DC Films,"David F. Sandberg (director); Henry Gayden (screenplay); Zachary Levi, Asher Angel, Mark Strong, Jack Dylan Grazer, Djimon Hounsou",[51],Action Comedy Fantasy
50,A P R I L,5,Pet Sematary,"Paramount Pictures / Room 101, Inc.","Kevin Kolsch, Dennis Widmyer (directors); Jeff Buhler (screenplay); Jason Clarke, Amy Seimetz, John Lithgow",[52],Horror Drama
51,A P R I L,5,The Best of Enemies,STX Entertainment,"Robin Bissell (director/screenplay); Taraji P. Henson, Sam Rockwell",[53],Drama History
52,A P R I L,5,High Life,A24 / Arte / ZDF / Canal+ / Ciné+,"Claire Denis (director/screenplay); Jean-Pol Fargeau (screenplay); Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",[54],Science Fiction Drama Mystery
53,A P R I L,5,Unicorn Store,Netflix,"Brie Larson (director); Samantha McIntyre (screenplay); Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford, Mamoudou Athie, Mary Holland, Hamish Linklater",,Fantasy Drama Comedy
54,A P R I L,5,The Haunting of Sharon Tate,Saban Films / Voltage Pictures,"Daniel Farrands (director/screenplay); Hilary Duff, Jonathan Bennett, Lydia Hearst, Pawel Szajda",[55],Horror Thriller
55,A P R I L,5,The Wind,IFC Midnight,"Emma Tammi (director); Teresa Sutherland (screenplay); Caitlin Gerard, Ashley Zukerman, Julia Goldani Telles, Miles Anderson",[56],Western Horror Thriller
56,A P R I L,10,The Silence,Netflix,"John R. Leonetti (director); Carey Van Dyke, Shane Van Dyke (screenplay); Kiernan Shipka, Stanley Tucci, Miranda Otto, John Corbett",[57],Horror Drama Thriller Fantasy
57,A P R I L,12,Hellboy,Lionsgate / Summit Entertainment / Millennium Media,"Neil Marshall (director); Andrew Cosby (screenplay); David Harbour, Milla Jovovich, Ian McShane, Sasha Lane, Daniel Dae Kim, Sophie Okonedo, Penelope Mitchell, Thomas Haden Church",[58],Fantasy Action
58,A P R I L,12,Little,Universal Pictures / Legendary Pictures / Will Packer Productions,"Tina Gordon (director); Camilla Blackett (screenplay); Issa Rae, Regina Hall, Marsai Martin",[59],Comedy Fantasy Romance
59,A P R I L,12,Missing Link,Annapurna Pictures / Laika,"Chris Butler (director/screenplay); Hugh Jackman, Zach Galifianakis, Zoe Saldana, Emma Thompson, Stephen Fry, David Walliams, Timothy Olyphant, Matt Lucas, Amrita Acharia",[60],Family Animation Comedy Adventure Fantasy
60,A P R I L,12,After,Aviron Pictures / Voltage Pictures,"Jenny Gage (director/screenplay); Susan McMartin, Tamara Chestna (screenplay); Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",[61],Romance Drama
61,A P R I L,12,Her Smell,Bow and Arrow Entertainment / Faliro House Productions,"Alex Ross Perry (director/screenplay); Elisabeth Moss, Cara Delevingne, Dan Stevens, Agyness Deyn, Gayle Rankin, Ashley Benson, Dylan Gelula, Virginia Madsen, Amber Heard",[62],Drama Music
62,A P R I L,17,Breakthrough,20th Century Fox,"Roxann Dawson (director); Grant Nieporte (screenplay); Chrissy Metz, Josh Lucas, Topher Grace, Mike Colter, Marcel Ruiz, Sam Trammell, Dennis Haysbert",[63],Drama Fantasy
63,A P R I L,17,Penguins,Disneynature,"Alastair Fothergill (director), Jeff Wilson (co-director); Ed Helms",[64],Documentary Family
64,A P R I L,19,The Curse of La Llorona,Warner Bros. Pictures / New Line Cinema,"Michael Chaves (director); Mikki Daughtry, Tobias Iaconis (screenplay); Linda Cardellini, Raymond Cruz, Patricia Velasquez",[65],Horror Mystery Thriller
65,A P R I L,19,Under the Silver Lake,A24,"David Robert Mitchell (director/screenplay); Andrew Garfield, Riley Keough, Topher Grace",[66],Crime Drama Mystery
66,A P R I L,19,Family,Stage 6 Films / Naegle Ink,"Laura Steinel (director/screenplay); Taylor Schilling, Brian Tyree Henry, Bryn Vale, Allison Tolman, Kate McKinnon",[67],Comedy
67,A P R I L,19,Fast Color,Codeblack Films,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney, Christopher Denham, David Strathairn",[68],Thriller Science Fiction
68,A P R I L,19,Someone Great,Netflix,"Jennifer Kaytin Robinson (director/screenplay); Gina Rodriguez, Brittany Snow, DeWanda Wise",[69],Comedy Romance
69,A P R I L,23,I Spit on Your Grave: Deja Vu,Deja Vu LLC,"Meir Zarchi (director/screenplay); Camille Keaton, Maria Olsen, Meir Zarchi",[70],Horror Thriller
70,A P R I L,26,Avengers: Endgame,Marvel Studios,"Anthony and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, Josh Brolin",[71],Adventure Science Fiction Action
71,A P R I L,26,I Trapped the Devil,IFC Midnight,"Josh Lobo (director/screenplay); A. J. Bowen, Scott Poythress, Susan Burke, Jocelin Donahue, Chris Sullivan",[72],Horror Mystery Drama
72,A P R I L,26,Body at Brighton Rock,SoapBox Films / ProtoStar Pictures,"Roxanne Benjamin (director/screenplay); Karina Fontes, Casey Adams, Emily Althaus, Martin Spanjers, Susan Burke, John Getz",[73],Thriller
73,A P R I L,27,Buffaloed,Lost City / Blue Ice Pictures,"Tanya Wexler (director); Brian Sacca (screenplay); Zoey Deutch, Jermaine Fowler, Judy Greer, Jai Courtney",[74],Comedy Drama
