director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Kevin Connolly, Kelly Preston, William DeMeo, William DeMeo,Crime Drama TV Movie,gotti, Kelly Preston  William DeMeo  William DeMeo Kevin Connolly Crime Drama TV Movie
J. A. Bayona, Jeff Goldblum, BD Wong, BD Wong,Action Adventure Science Fiction Thriller,jurassic world: fallen kingdom, Jeff Goldblum  BD Wong  BD Wong J. A. Bayona Action Adventure Science Fiction Thriller
Shana Feste, Peter Fonda, Christopher Lloyd, Christopher Lloyd,Comedy Drama,boundaries, Peter Fonda  Christopher Lloyd  Christopher Lloyd Shana Feste Comedy Drama
"David Zellner, Nathan Zellner", Mia Wasikowska, Nathan Zellner (directors/screenplay); Robert Pattinson, Nathan Zellner (directors/screenplay); Robert Pattinson,Adventure Fantasy,damsel," Mia Wasikowska  Nathan Zellner (directors/screenplay); Robert Pattinson  Nathan Zellner (directors/screenplay); Robert Pattinson David Zellner, Nathan Zellner Adventure Fantasy"
Mike P. Nelson, David Dastmalchian, Thomas Francis Murray, Thomas Francis Murray,Thriller Horror,the domestics, David Dastmalchian  Thomas Francis Murray  Thomas Francis Murray Mike P. Nelson Thriller Horror
Stefano Sollima, Catherine Keener, Manuel Garcia-Rulfo, Manuel Garcia-Rulfo,Action Crime Thriller,sicario: day of the soldado, Catherine Keener  Manuel Garcia-Rulfo  Manuel Garcia-Rulfo Stefano Sollima Action Crime Thriller
Debra Granik, Dale Dickey, Jeff Kober, Jeff Kober,Drama,leave no trace, Dale Dickey  Jeff Kober  Jeff Kober Debra Granik Drama
Matt Sivertson, Kathleen Sheehy, Mike Burnell, Mike Burnell,Drama,love all you have left, Kathleen Sheehy  Mike Burnell  Mike Burnell Matt Sivertson Drama
Charles Stone III, Aaron Gordon, Nick Kroll, Nick Kroll,Comedy,uncle drew, Aaron Gordon  Nick Kroll  Nick Kroll Charles Stone III Comedy
Susanna White, Sam Rockwell, Chaske Spencer, Chaske Spencer,Drama History Western,woman walks ahead, Sam Rockwell  Chaske Spencer  Chaske Spencer Susanna White Drama History Western
Richie Moore, Margaret Roche, Sara Malakul Lane, Sara Malakul Lane,Horror TV Movie,who's watching oliver, Margaret Roche  Sara Malakul Lane  Sara Malakul Lane Richie Moore Horror TV Movie
Gerard McMurray, Marisa Tomei, Luna Lauren Velez, Luna Lauren Velez,Horror Action Thriller,the first purge, Marisa Tomei  Luna Lauren Velez  Luna Lauren Velez Gerard McMurray Horror Action Thriller
Peyton Reed, Laurence Fishburne, Randall Park, Randall Park,Action Adventure Science Fiction,ant-man and the wasp, Laurence Fishburne  Randall Park  Randall Park Peyton Reed Action Adventure Science Fiction
Boots Riley, David Cross, Patton Oswalt, Patton Oswalt,Fantasy Science Fiction Comedy,sorry to bother you, David Cross  Patton Oswalt  Patton Oswalt Boots Riley Fantasy Science Fiction Comedy
Kevin MacDonald,Kevin MacDonald (director/screenplay); Whitney Houston,unknown,unknown,Music Documentary,whitney,Kevin MacDonald (director/screenplay); Whitney Houston unknown unknown Kevin MacDonald Music Documentary
Genndy Tartakovsky, Mel Brooks, Kathryn Hahn, Kathryn Hahn,Animation Comedy Family Fantasy,hotel transylvania 3: summer vacation, Mel Brooks  Kathryn Hahn  Kathryn Hahn Genndy Tartakovsky Animation Comedy Family Fantasy
Rawson Marshall Thurber, Noah Taylor, Hannah Quinlivan, Hannah Quinlivan,Action Thriller Adventure,skyscraper, Noah Taylor  Hannah Quinlivan  Hannah Quinlivan Rawson Marshall Thurber Action Thriller Adventure
Bo Burnham, Missy Yager, Emily Robinson, Emily Robinson,Comedy Drama,eighth grade, Missy Yager  Emily Robinson  Emily Robinson Bo Burnham Comedy Drama
Gus Van Sant, Jack Black, Jonah Hill, Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot", Jack Black  Jonah Hill  Jonah Hill Gus Van Sant Comedy Drama
Rob Reiner, Al Sapienza, Richard Schiff, Richard Schiff,History Drama Thriller,shock and awe, Al Sapienza  Richard Schiff  Richard Schiff Rob Reiner History Drama Thriller
Ol Parker, Meryl Streep, Andy García, Andy García,Comedy Romance,mamma mia! here we go again, Meryl Streep  Andy García  Andy García Ol Parker Comedy Romance
Antoine Fuqua, Bill Pullman, Melissa Leo, Melissa Leo,Action Thriller Crime,the equalizer 2, Bill Pullman  Melissa Leo  Melissa Leo Antoine Fuqua Action Thriller Crime
Carlos López Estrada, Wayne Knight, Rafael Casal, Rafael Casal,Comedy Crime Drama,blindspotting, Wayne Knight  Rafael Casal  Rafael Casal Carlos López Estrada Comedy Crime Drama
Stephen Susco, Savira Windyani, Stephanie Nogueras, Stephanie Nogueras,Horror Thriller Mystery,unfriended: dark web, Savira Windyani  Stephanie Nogueras  Stephanie Nogueras Stephen Susco Horror Thriller Mystery
Christopher McQuarrie, Alec Baldwin, Michelle Monaghan, Michelle Monaghan,Action Adventure,mission: impossible – fallout, Alec Baldwin  Michelle Monaghan  Michelle Monaghan Christopher McQuarrie Action Adventure
Peter Rida Michail, Kristen Bell, Will Arnett, Will Arnett,Animation Action Comedy Science Fiction,teen titans go! to the movies, Kristen Bell  Will Arnett  Will Arnett Peter Rida Michail Animation Action Comedy Science Fiction
Elijah Bynum, Maia Mitchell, Alex Roe, Alex Roe,Drama Comedy Crime,hot summer nights, Maia Mitchell  Alex Roe  Alex Roe Elijah Bynum Drama Comedy Crime
Marc Turtletaub, Liv Hewson, Austin Abrams, Austin Abrams,Drama,puzzle, Liv Hewson  Austin Abrams  Austin Abrams Marc Turtletaub Drama
Ben Young, Lex Shrapnel, Israel Broussard, Israel Broussard,Action Drama Science Fiction Thriller,extinction, Lex Shrapnel  Israel Broussard  Israel Broussard Ben Young Action Drama Science Fiction Thriller
Marc Forster, Toby Jones, Sophie Okonedo, Sophie Okonedo,Adventure Comedy Family Fantasy,christopher robin, Toby Jones  Sophie Okonedo  Sophie Okonedo Marc Forster Adventure Comedy Family Fantasy
Jennifer Yuh Nelson, Gwendoline Christie, Harris Dickinson, Harris Dickinson,Action Adventure Drama,the darkest minds, Gwendoline Christie  Harris Dickinson  Harris Dickinson Jennifer Yuh Nelson Action Adventure Drama
Susanna Fogel, Gillian Anderson, Sam Heughan, Sam Heughan,Action Comedy,the spy who dumped me, Gillian Anderson  Sam Heughan  Sam Heughan Susanna Fogel Action Comedy
Desiree Akhavan, Jennifer Ehle, Forrest Goodluck, Forrest Goodluck,Drama,the miseducation of cameron post, Jennifer Ehle  Forrest Goodluck  Forrest Goodluck Desiree Akhavan Drama
Augustine Frizzell, Matthew Holcomb, Kendal Smith, Kendal Smith,Comedy,never goin' back, Matthew Holcomb  Kendal Smith  Kendal Smith Augustine Frizzell Comedy
Ken Marino, Eva Longoria, Adam Pally, Adam Pally,Romance Comedy,dog days, Eva Longoria  Adam Pally  Adam Pally Ken Marino Romance Comedy
Jon Turteltaub, Cliff Curtis, Winston Chao, Winston Chao,Action Science Fiction Horror,the meg, Cliff Curtis  Winston Chao  Winston Chao Jon Turteltaub Action Science Fiction Horror
Spike Lee, Topher Grace, Laura Harrier, Laura Harrier,Comedy Crime Drama History,blackkklansman, Topher Grace  Laura Harrier  Laura Harrier Spike Lee Comedy Crime Drama History
Sylvain White, Javier Botet, Annalise Basso, Annalise Basso,Horror Mystery Thriller,slender man, Javier Botet  Annalise Basso  Annalise Basso Sylvain White Horror Mystery Thriller
Jean-Stéphane Sauvaire, Nick Saltrese (screenplay); Joe Cole,Jean-Stéphane Sauvaire (director); Jonathan Hirschbein,Jean-Stéphane Sauvaire (director); Jonathan Hirschbein,Drama Action Crime,a prayer before dawn, Nick Saltrese (screenplay); Joe Cole Jean-Stéphane Sauvaire (director); Jonathan Hirschbein Jean-Stéphane Sauvaire (director); Jonathan Hirschbein Jean-Stéphane Sauvaire Drama Action Crime
Jon M. Chu, Michelle Yeoh, Ken Jeong, Ken Jeong,Comedy Drama Romance,crazy rich asians, Michelle Yeoh  Ken Jeong  Ken Jeong Jon M. Chu Comedy Drama Romance
Albert Hughes, Jens Hultén, Leonor Varela, Leonor Varela,Adventure Drama,alpha, Jens Hultén  Leonor Varela  Leonor Varela Albert Hughes Adventure Drama
Peter Berg, Ronda Rousey, Iko Uwais, Iko Uwais,Action Thriller,mile 22, Ronda Rousey  Iko Uwais  Iko Uwais Peter Berg Action Thriller
Björn Runge, Elizabeth McGovern, Harry Lloyd, Harry Lloyd,Drama,the wife, Elizabeth McGovern  Harry Lloyd  Harry Lloyd Björn Runge Drama
James Cox, Judd Nelson, Suki Waterhouse, Suki Waterhouse,Drama Thriller,billionaire boys club, Judd Nelson  Suki Waterhouse  Suki Waterhouse James Cox Drama Thriller
Jesse Peretz, Rose Byrne, Jim Taylor (screenplay); Ethan Hawke, Jim Taylor (screenplay); Ethan Hawke,Comedy Drama Romance,"juliet, naked", Rose Byrne  Jim Taylor (screenplay); Ethan Hawke  Jim Taylor (screenplay); Ethan Hawke Jesse Peretz Comedy Drama Romance
Rodrigo Cortés, Victoria Moroles, Jim Sturgeon, Jim Sturgeon,Horror Mystery Thriller Fantasy Drama,down a dark hall, Victoria Moroles  Jim Sturgeon  Jim Sturgeon Rodrigo Cortés Horror Mystery Thriller Fantasy Drama
Susan Johnson, John Corbett, Anna Cathcart, Anna Cathcart,Comedy Romance,to all the boys i've loved before, John Corbett  Anna Cathcart  Anna Cathcart Susan Johnson Comedy Romance
Brian Henson, Elizabeth Banks, Joel McHale, Joel McHale,Action Comedy Crime Horror,the happytime murders, Elizabeth Banks  Joel McHale  Joel McHale Brian Henson Action Comedy Crime Horror
Aneesh Chaganty, Debra Messing,Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho,Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho,Thriller Mystery Drama,searching, Debra Messing Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho Aneesh Chaganty Thriller Mystery Drama
Michael Noer, Rami Malek,Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam,Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam,Drama,papillon, Rami Malek Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam Michael Noer Drama
Oliver Daly, Patricia de Leon, Lou Taylor Pucci, Lou Taylor Pucci,Science Fiction Action Adventure Family,a.x.l., Patricia de Leon  Lou Taylor Pucci  Lou Taylor Pucci Oliver Daly Science Fiction Action Adventure Family
Chris Weitz, Joe Alwyn, Nick Kroll, Nick Kroll,Drama History Thriller,operation finale, Joe Alwyn  Nick Kroll  Nick Kroll Chris Weitz Drama History Thriller
"Jonathan Baker, Josh Baker", James Franco, Dennis Quaid, Dennis Quaid,Fantasy Adventure Science Fiction Action,kin," James Franco  Dennis Quaid  Dennis Quaid Jonathan Baker, Josh Baker Fantasy Adventure Science Fiction Action"
Victor Levin, Keanu Reeves,Victor Levin (director/screenplay); Winona Ryder,Victor Levin (director/screenplay); Winona Ryder,Romance Comedy Drama,destination wedding, Keanu Reeves Victor Levin (director/screenplay); Winona Ryder Victor Levin (director/screenplay); Winona Ryder Victor Levin Romance Comedy Drama
Brian A. Miller, Olivia Culpo, Johnathon Schaech, Johnathon Schaech,Action Thriller Crime,reprisal, Olivia Culpo  Johnathon Schaech  Johnathon Schaech Brian A. Miller Action Thriller Crime
Corin Hardy, Bonnie Aarons, Ingrid Bisu, Ingrid Bisu,Horror Mystery Thriller,the nun, Bonnie Aarons  Ingrid Bisu  Ingrid Bisu Corin Hardy Horror Mystery Thriller
Pierre Morel, Richard Cabral, Annie Ilonzeh, Annie Ilonzeh,Action Thriller,peppermint, Richard Cabral  Annie Ilonzeh  Annie Ilonzeh Pierre Morel Action Thriller
Shane Black, Sterling K. Brown, Alfie Allen, Alfie Allen,Science Fiction Action Adventure,the predator, Sterling K. Brown  Alfie Allen  Alfie Allen Shane Black Science Fiction Action Adventure
Yann Demange, Piper Laurie, Bruce Dern, Bruce Dern,Crime Drama,white boy rick, Piper Laurie  Bruce Dern  Bruce Dern Yann Demange Crime Drama
Paul Feig, Andrew Rannells, Henry Golding, Henry Golding,Crime Thriller Mystery Comedy,a simple favor, Andrew Rannells  Henry Golding  Henry Golding Paul Feig Crime Thriller Mystery Comedy
Richard Eyre, Fionn Whitehead, Stanley Tucci, Stanley Tucci,Drama,the children act, Fionn Whitehead  Stanley Tucci  Stanley Tucci Richard Eyre Drama
Craig William Macneill, Jeff Perry, Denis O'Hare, Denis O'Hare,Crime Drama Thriller,lizzie, Jeff Perry  Denis O'Hare  Denis O'Hare Craig William Macneill Crime Drama Thriller
Harold Cronk, Will Graham, David Sakurai, David Sakurai,Drama,unbroken: path to redemption, Will Graham  David Sakurai  David Sakurai Harold Cronk Drama
Stephen Cognetti, Brian David Tracey, Dustin Austen, Dustin Austen,Horror,hell house llc ii: the abaddon hotel, Brian David Tracey  Dustin Austen  Dustin Austen Stephen Cognetti Horror
Eli Roth, Colleen Camp, Vanessa Anne Williams, Vanessa Anne Williams,Fantasy Family Comedy,the house with a clock in its walls, Colleen Camp  Vanessa Anne Williams  Vanessa Anne Williams Eli Roth Fantasy Family Comedy
Dan Fogelman, Antonio Banderas, Annette Bening, Annette Bening,Drama Romance,life itself, Antonio Banderas  Annette Bening  Annette Bening Dan Fogelman Drama Romance
Jacques Audiard, Riz Ahmed, Jake Gyllenhaal, Jake Gyllenhaal,Drama Western,the sisters brothers, Riz Ahmed  Jake Gyllenhaal  Jake Gyllenhaal Jacques Audiard Drama Western
Sam Levinson, Anika Noni Rose, Colman Domingo, Colman Domingo,Thriller Horror Comedy,assassination nation, Anika Noni Rose  Colman Domingo  Colman Domingo Sam Levinson Thriller Horror Comedy
Donald Petrie, Martin Roach, Jane Seymour, Jane Seymour,Comedy Romance,little italy, Martin Roach  Jane Seymour  Jane Seymour Donald Petrie Comedy Romance
Wash Westmoreland, Dominic West,Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley,Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley,Drama History,colette, Dominic West Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley Wash Westmoreland Drama History
Michael Moore,Michael Moore (director/screenplay),unknown,unknown,Documentary,fahrenheit 11/9,Michael Moore (director/screenplay) unknown unknown Michael Moore Documentary
Lisa Dapolito,Lisa Dapolito (director); Gilda Radner,unknown,unknown,Documentary,"love, gilda",Lisa Dapolito (director); Gilda Radner unknown unknown Lisa Dapolito Documentary
Karey Kirkpatrick, Jimmy Tatro, Ely Henry, Ely Henry,Family Animation Adventure Fantasy,smallfoot, Jimmy Tatro  Ely Henry  Ely Henry Karey Kirkpatrick Family Animation Adventure Fantasy
Malcolm D. Lee, Romany Malco, Rob Riggle, Rob Riggle,Comedy,night school, Romany Malco  Rob Riggle  Rob Riggle Malcolm D. Lee Comedy
David Lowery, Sissy Spacek, Tom Waits, Tom Waits,Comedy Crime Drama,the old man & the gun, Sissy Spacek  Tom Waits  Tom Waits David Lowery Comedy Crime Drama
Gregory Plotkin, Roby Attal, Matt Mercurio, Matt Mercurio,Horror Thriller,hell fest, Roby Attal  Matt Mercurio  Matt Mercurio Gregory Plotkin Horror Thriller
Ruben Fleischer, Jenny Slate, Reid Scott, Reid Scott,Science Fiction Action,venom, Jenny Slate  Reid Scott  Reid Scott Ruben Fleischer Science Fiction Action
Bradley Cooper, Greg Grunberg, Rafi Gavron, Rafi Gavron,Music Drama Romance,a star is born, Greg Grunberg  Rafi Gavron  Rafi Gavron Bradley Cooper Music Drama Romance
Peter Bogdanovich,Peter Bogdanovich (director),unknown,unknown,Documentary Comedy,the great buster: a celebration,Peter Bogdanovich (director) unknown unknown Peter Bogdanovich Documentary Comedy
Damien Chazelle, Lukas Haas, Patrick Fugit, Patrick Fugit,History Drama,first man, Lukas Haas  Patrick Fugit  Patrick Fugit Damien Chazelle History Drama
Drew Goddard, Chris Hemsworth, Nick Offerman, Nick Offerman,Thriller Drama Mystery Crime,bad times at the el royale, Chris Hemsworth  Nick Offerman  Nick Offerman Drew Goddard Thriller Drama Mystery Crime
Ari Sandel, Jack Black, Ken Jeong, Ken Jeong,Adventure Comedy Fantasy Family Horror,goosebumps 2: haunted halloween, Jack Black  Ken Jeong  Ken Jeong Ari Sandel Adventure Comedy Fantasy Family Horror
Felix van Groeningen, Amy Ryan, Maura Tierney, Maura Tierney,Drama,beautiful boy, Amy Ryan  Maura Tierney  Maura Tierney Felix van Groeningen Drama
Ike Barinholtz, John Cho, Billy Magnussen, Billy Magnussen,Action Adventure Drama Fantasy,the oath, John Cho  Billy Magnussen  Billy Magnussen Ike Barinholtz Action Adventure Drama Fantasy
Nick Searcy, Michael Beach, Sarah Jane Morris, Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer, Michael Beach  Sarah Jane Morris  Sarah Jane Morris Nick Searcy Drama Crime
"Hannah Marks, Joey Power", Marisa Tomei, Gina Gershon, Gina Gershon,Romance Drama,after everything," Marisa Tomei  Gina Gershon  Gina Gershon Hannah Marks, Joey Power Romance Drama"
David Gordon Green, Virginia Gardner, Will Patton, Will Patton,Horror Thriller,halloween, Virginia Gardner  Will Patton  Will Patton David Gordon Green Horror Thriller
George Tillman Jr., Anthony Mackie, Common, Common,Crime Drama,the hate u give, Anthony Mackie  Common  Common George Tillman Jr. Crime Drama
Marielle Heller, Richard E. Grant, Jeff Whitty (screenplay); Melissa McCarthy, Jeff Whitty (screenplay); Melissa McCarthy,Drama Crime Comedy,can you ever forgive me?, Richard E. Grant  Jeff Whitty (screenplay); Melissa McCarthy  Jeff Whitty (screenplay); Melissa McCarthy Marielle Heller Drama Crime Comedy
Jonah Hill, Katherine Waterston, Lucas Hedges, Lucas Hedges,Drama Comedy,mid90s, Katherine Waterston  Lucas Hedges  Lucas Hedges Jonah Hill Drama Comedy
Paul Dano, Bill Camp, Ed Oxenbould, Ed Oxenbould,Drama,wildlife, Bill Camp  Ed Oxenbould  Ed Oxenbould Paul Dano Drama
Elizabeth Chomko, Josh Lucas, Taissa Farmiga, Taissa Farmiga,Drama,what they had, Josh Lucas  Taissa Farmiga  Taissa Farmiga Elizabeth Chomko Drama
Donovan Marsh, Michael Nyqvist, Zane Holtz, Zane Holtz,Action Thriller,hunter killer, Michael Nyqvist  Zane Holtz  Zane Holtz Donovan Marsh Action Thriller
David Kerr, Ben Miller, Olga Kurylenko, Olga Kurylenko,Action Adventure Comedy,johnny english strikes again, Ben Miller  Olga Kurylenko  Olga Kurylenko David Kerr Action Adventure Comedy
Luca Guadagnino, Chloë Grace Moretz, Jessica Harper, Jessica Harper,Horror,suspiria, Chloë Grace Moretz  Jessica Harper  Jessica Harper Luca Guadagnino Horror
David G. Evans, Eric Close, Tia Mowry, Tia Mowry,Drama War,indivisible, Eric Close  Tia Mowry  Tia Mowry David G. Evans Drama War
David McCracken, Dorothy Lyman, Richard Riehle, Richard Riehle,Action Drama Thriller,bullitt county, Dorothy Lyman  Richard Riehle  Richard Riehle David McCracken Action Drama Thriller
Bryan Singer, Mike Myers, Tom Hollander, Tom Hollander,Music Drama,bohemian rhapsody, Mike Myers  Tom Hollander  Tom Hollander Bryan Singer Music Drama
