director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
john glen,louis jourdan,kabir bedi,steven berkoff,action adventure thriller,octopussy ,louis jourdan kabir bedi steven berkoff john glen action adventure thriller
judd apatow,harold ramis,martin starr,charlyne yi,comedy romance,knocked up ,harold ramis martin starr charlyne yi judd apatow comedy romance
nick cassavetes,jason patric,sofia vassilieva,jeffrey markle,drama,my sister's keeper ,jason patric sofia vassilieva jeffrey markle nick cassavetes drama
malcolm d. lee,mo'nique,mike epps,cedric the entertainer,comedy drama romance,"welcome home, roscoe jenkins ",mo'nique mike epps cedric the entertainer malcolm d. lee comedy drama romance
david lean,richard wilson,judy davis,art malik,adventure drama history,a passage to india ,richard wilson judy davis art malik david lean adventure drama history
richard eyre,phil davis,andrew simpson,shaun parkes,crime drama romance thriller,notes on a scandal ,phil davis andrew simpson shaun parkes richard eyre crime drama romance thriller
gavin hood,j.k. simmons,jake gyllenhaal,meryl streep,drama thriller,rendition ,j.k. simmons jake gyllenhaal meryl streep gavin hood drama thriller
unknown,colin salmon,mary elizabeth mastrantonio,jake mcdorman,crime drama sci-fi thriller,limitless             ,colin salmon mary elizabeth mastrantonio jake mcdorman unknown crime drama sci-fi thriller
nicholas meyer,leonard nimoy,kurtwood smith,nichelle nichols,action adventure sci-fi thriller,star trek vi: the undiscovered country ,leonard nimoy kurtwood smith nichelle nichols nicholas meyer action adventure sci-fi thriller
callie khouri,ellen burstyn,fionnula flanagan,matthew settle,drama,divine secrets of the ya-ya sisterhood ,ellen burstyn fionnula flanagan matthew settle callie khouri drama
jon favreau,scarlett johansson,bill murray,garry shandling,adventure drama family fantasy,the jungle book ,scarlett johansson bill murray garry shandling jon favreau adventure drama family fantasy
gary fleder,morgan freeman,tony goldwyn,tatyana ali,crime drama mystery thriller,kiss the girls ,morgan freeman tony goldwyn tatyana ali gary fleder crime drama mystery thriller
john landis,john belushi,aretha franklin,ray charles,action comedy crime music,the blues brothers ,john belushi aretha franklin ray charles john landis action comedy crime music
sanaa hamri,america ferrera,blythe danner,michael rady,comedy drama family romance,the sisterhood of the traveling pants 2 ,america ferrera blythe danner michael rady sanaa hamri comedy drama family romance
todd graff,dolly parton,jeremy jordan,jesse l. martin,comedy music,joyful noise ,dolly parton jeremy jordan jesse l. martin todd graff comedy music
chris weitz,sharon small,christopher webster,peter mcnicholl,comedy drama romance,about a boy ,sharon small christopher webster peter mcnicholl chris weitz comedy drama romance
steve miner,oliver platt,bridget fonda,ty olsson,action comedy horror,lake placid ,oliver platt bridget fonda ty olsson steve miner action comedy horror
philip kaufman,dennis quaid,scott glenn,sam shepard,adventure drama history,the right stuff ,dennis quaid scott glenn sam shepard philip kaufman adventure drama history
roland emmerich,vanessa redgrave,joely richardson,rafe spall,drama history thriller,anonymous ,vanessa redgrave joely richardson rafe spall roland emmerich drama history thriller
wolfgang petersen,gerald mcraney,barret oliver,alan oppenheimer,adventure drama family fantasy,the neverending story ,gerald mcraney barret oliver alan oppenheimer wolfgang petersen adventure drama family fantasy
alex proyas,rufus sewell,william hurt,bruce spence,action drama fantasy mystery sci-fi thriller,dark city ,rufus sewell william hurt bruce spence alex proyas action drama fantasy mystery sci-fi thriller
saul dibb,dominic cooper,hayley atwell,charlotte rampling,biography drama history romance,the duchess ,dominic cooper hayley atwell charlotte rampling saul dibb biography drama history romance
unknown,jackie gleason,art carney,joyce randolph,comedy family,the honeymooners             ,jackie gleason art carney joyce randolph unknown comedy family
walter murch,piper laurie,jean marsh,tim rose,adventure family fantasy horror mystery,return to oz ,piper laurie jean marsh tim rose walter murch adventure family fantasy horror mystery
richard linklater,matthew mcconaughey,lew temple,dwight yoakam,action crime drama history western,the newton boys ,matthew mcconaughey lew temple dwight yoakam richard linklater action crime drama history western
